Goal,Date,Status      
Minimum Viable Product,15-Mar-21,Done        
Dev/Hosting of Insights Platform,01-Sep-21,Done        
Demo (Del.Assurance Director),15-Sep-21,Done        
Demo (Biz Owner - Systemization),21-Sep-21,Done        
Req - Addition of Marquee Prod.,TBD,Not Started 
Demo to Agile Coaches,TBD,Not Started 
Adoption (PP&T Leadership),TBD,Not Started 
Adoption (Agile Coaches),TBD, Not Started 
Adoption (PP&T Senior Leadership),TBD,Not Started 
Adoption (Delivery Assurance Leads),TBD,Not Started 
Req - Integration with Aha! (POC),In Progress,Started     
Req - Integration with Aha!,TBD,Not Started 
Req - Integration with Kimble! (POC),TBD,Not Started 
Req - Integration with Kimble!,TBD,Not Started 
